updateDate,code,code_name
2021-03-29,sh.603868,飞科电器
2021-03-29,sh.603882,金域医学
2021-03-29,sh.603883,老百姓
2021-03-29,sh.603885,吉祥航空
2021-03-29,sh.603888,新华网
2021-03-29,sh.603893,瑞芯微
2021-03-29,sh.603927,中科软
2021-03-29,sh.603983,丸美股份
2021-03-29,sh.688002,睿创微纳
2021-03-29,sh.688029,南微医学
2021-03-29,sh.688088,虹软科技
2021-03-29,sh.688099,晶晨股份
2021-03-29,sh.688321,微芯生物
2021-03-29,sz.000008,神州高铁
2021-03-29,sz.000009,中国宝安
2021-03-29,sz.000012,南玻A
2021-03-29,sz.000021,深科技
2021-03-29,sz.000027,深圳能源
2021-03-29,sz.000028,国药一致
2021-03-29,sz.000031,大悦城
2021-03-29,sz.000039,中集集团
2021-03-29,sz.000046,泛海控股
2021-03-29,sz.000050,深天马A
2021-03-29,sz.000060,中金岭南
2021-03-29,sz.000061,农产品
2021-03-29,sz.000062,深圳华强
2021-03-29,sz.000078,海王生物
2021-03-29,sz.000089,深圳机场
2021-03-29,sz.000090,天健集团
2021-03-29,sz.000156,华数传媒
2021-03-29,sz.000158,常山北明
2021-03-29,sz.000301,东方盛虹
2021-03-29,sz.000400,许继电气
2021-03-29,sz.000401,冀东水泥
2021-03-29,sz.000402,金融街
2021-03-29,sz.000415,渤海租赁
2021-03-29,sz.000488,晨鸣纸业
2021-03-29,sz.000501,鄂武商A
2021-03-29,sz.000513,丽珠集团
2021-03-29,sz.000519,中兵红箭
2021-03-29,sz.000528,柳工
2021-03-29,sz.000537,广宇发展
2021-03-29,sz.000540,中天金融
2021-03-29,sz.000543,皖能电力
2021-03-29,sz.000547,航天发展
2021-03-29,sz.000553,安道麦A
2021-03-29,sz.000559,万向钱潮
2021-03-29,sz.000563,陕国投A
2021-03-29,sz.000581,威孚高科
2021-03-29,sz.000598,兴蓉环境
2021-03-29,sz.000600,建投能源
2021-03-29,sz.000623,吉林敖东
2021-03-29,sz.000629,攀钢钒钛
2021-03-29,sz.000630,铜陵有色
2021-03-29,sz.000636,风华高科
2021-03-29,sz.000681,视觉中国
2021-03-29,sz.000685,中山公用
2021-03-29,sz.000686,东北证券
2021-03-29,sz.000690,宝新能源
2021-03-29,sz.000709,河钢股份
2021-03-29,sz.000717,韶钢松山
2021-03-29,sz.000718,苏宁环球
2021-03-29,sz.000729,燕京啤酒
2021-03-29,sz.000732,泰禾集团
2021-03-29,sz.000738,航发控制
2021-03-29,sz.000739,普洛药业
2021-03-29,sz.000750,国海证券
2021-03-29,sz.000758,中色股份
2021-03-29,sz.000778,新兴铸管
2021-03-29,sz.000807,云铝股份
2021-03-29,sz.000813,德展健康
2021-03-29,sz.000825,太钢不锈
2021-03-29,sz.000826,启迪环境
2021-03-29,sz.000830,鲁西化工
2021-03-29,sz.000869,张裕A
2021-03-29,sz.000877,天山股份
2021-03-29,sz.000878,云南铜业
2021-03-29,sz.000883,湖北能源
2021-03-29,sz.000887,中鼎股份
2021-03-29,sz.000898,鞍钢股份
2021-03-29,sz.000930,中粮科技
2021-03-29,sz.000932,华菱钢铁
2021-03-29,sz.000937,冀中能源
2021-03-29,sz.000959,首钢股份
2021-03-29,sz.000960,锡业股份
